, ,Number of genomes
966,Cluster 966,1
967,Cluster 967,10
968,Cluster 968,16
969,Cluster 969,12
970,Cluster 970,2
971,Cluster 971,1
972,Cluster 972,8
973,Cluster 973,3
974,Cluster 974,5
975,Cluster 975,1
976,Cluster 976,69
977,Cluster 977,6
978,Cluster 978,5
979,Cluster 979,1
980,Cluster 980,1
981,Cluster 981,2
982,Cluster 982,226
983,Cluster 983,2
984,Cluster 984,1
985,Cluster 985,67
986,Cluster 986,168
987,Cluster 987,8
988,Cluster 988,2
989,Cluster 989,1
990,Cluster 990,2
991,Cluster 991,8
992,Cluster 992,2
993,Cluster 993,17
994,Cluster 994,3
995,Cluster 995,1323
996,Cluster 996,1321
997,Cluster 997,1
998,Cluster 998,2
999,Cluster 999,7
1000,Cluster 1000,4
1001,Cluster 1001,544
1002,Cluster 1002,9
1003,Cluster 1003,11
1004,Cluster 1004,2
1005,Cluster 1005,4
1006,Cluster 1006,3
1007,Cluster 1007,5
1008,Cluster 1008,1319
1009,Cluster 1009,1317
1010,Cluster 1010,1
1011,Cluster 1011,1
1012,Cluster 1012,2
1013,Cluster 1013,1326
1014,Cluster 1014,9
1015,Cluster 1015,5
1016,Cluster 1016,4
1017,Cluster 1017,1
1018,Cluster 1018,1
1019,Cluster 1019,2
1020,Cluster 1020,3
1021,Cluster 1021,4
1022,Cluster 1022,24
1023,Cluster 1023,2
1024,Cluster 1024,1
1025,Cluster 1025,7
1026,Cluster 1026,1
1027,Cluster 1027,2
1028,Cluster 1028,3
1029,Cluster 1029,1
1030,Cluster 1030,27
1031,Cluster 1031,1162
1032,Cluster 1032,2
1033,Cluster 1033,1
1034,Cluster 1034,2
1035,Cluster 1035,8
1036,Cluster 1036,5
1037,Cluster 1037,2
1038,Cluster 1038,1
1039,Cluster 1039,4
1040,Cluster 1040,1321
1041,Cluster 1041,4
1042,Cluster 1042,1
1043,Cluster 1043,4
1044,Cluster 1044,1325
1045,Cluster 1045,2
1046,Cluster 1046,1
1047,Cluster 1047,114
1048,Cluster 1048,3
1049,Cluster 1049,22
1050,Cluster 1050,3
1051,Cluster 1051,3
1052,Cluster 1052,175
1053,Cluster 1053,162
1054,Cluster 1054,1270
1055,Cluster 1055,2
1056,Cluster 1056,20
1057,Cluster 1057,26
1058,Cluster 1058,2
1059,Cluster 1059,3
1060,Cluster 1060,4
1061,Cluster 1061,4
1062,Cluster 1062,1
1063,Cluster 1063,2
1064,Cluster 1064,8
1065,Cluster 1065,3
1066,Cluster 1066,308
1067,Cluster 1067,1321
1068,Cluster 1068,1
1069,Cluster 1069,6
1070,Cluster 1070,5
1071,Cluster 1071,2
1072,Cluster 1072,1
1073,Cluster 1073,10
1074,Cluster 1074,15
1075,Cluster 1075,1
1076,Cluster 1076,2
1077,Cluster 1077,4
1078,Cluster 1078,4
1079,Cluster 1079,29
1080,Cluster 1080,8
1081,Cluster 1081,2
1082,Cluster 1082,2
1083,Cluster 1083,1219
1084,Cluster 1084,3
1085,Cluster 1085,1
1086,Cluster 1086,1
1087,Cluster 1087,5
1088,Cluster 1088,70
1089,Cluster 1089,1
1090,Cluster 1090,1
1091,Cluster 1091,62
1092,Cluster 1092,141
1093,Cluster 1093,34
1094,Cluster 1094,4
1095,Cluster 1095,23
1096,Cluster 1096,149
1097,Cluster 1097,3
1098,Cluster 1098,1326
1099,Cluster 1099,1
1100,Cluster 1100,8
1101,Cluster 1101,128
1102,Cluster 1102,6
1103,Cluster 1103,2
1104,Cluster 1104,3
1105,Cluster 1105,2
1106,Cluster 1106,6
1107,Cluster 1107,2
1108,Cluster 1108,5
1109,Cluster 1109,1185
1110,Cluster 1110,3
