, ,Number of genomes
1008,Cluster 1008,9
1009,Cluster 1009,1
1010,Cluster 1010,29
1011,Cluster 1011,576
1012,Cluster 1012,19
1013,Cluster 1013,4
1014,Cluster 1014,2
1015,Cluster 1015,2
1016,Cluster 1016,16
1017,Cluster 1017,2
1018,Cluster 1018,1
1019,Cluster 1019,1
1020,Cluster 1020,22
1021,Cluster 1021,1
1022,Cluster 1022,23
1023,Cluster 1023,1
1024,Cluster 1024,3
1025,Cluster 1025,5
1026,Cluster 1026,15
1027,Cluster 1027,217
1028,Cluster 1028,535
1029,Cluster 1029,1
1030,Cluster 1030,24
1031,Cluster 1031,1
1032,Cluster 1032,246
1033,Cluster 1033,1
1034,Cluster 1034,34
1035,Cluster 1035,1
1036,Cluster 1036,1
1037,Cluster 1037,20
1038,Cluster 1038,5
1039,Cluster 1039,4
1040,Cluster 1040,1
1041,Cluster 1041,1
1042,Cluster 1042,68
1043,Cluster 1043,3
1044,Cluster 1044,1
1045,Cluster 1045,1
1046,Cluster 1046,1
1047,Cluster 1047,5
1048,Cluster 1048,1
1049,Cluster 1049,114
1050,Cluster 1050,1
1051,Cluster 1051,5
1052,Cluster 1052,11
1053,Cluster 1053,1
1054,Cluster 1054,3
1055,Cluster 1055,3
1056,Cluster 1056,41
1057,Cluster 1057,1
1058,Cluster 1058,5
1059,Cluster 1059,1
1060,Cluster 1060,16
1061,Cluster 1061,5
1062,Cluster 1062,108
1063,Cluster 1063,13
1064,Cluster 1064,1859
1065,Cluster 1065,16
1066,Cluster 1066,11
1067,Cluster 1067,20
1068,Cluster 1068,114
1069,Cluster 1069,5
1070,Cluster 1070,1
1071,Cluster 1071,2
1072,Cluster 1072,1
1073,Cluster 1073,12
1074,Cluster 1074,7
1075,Cluster 1075,60
1076,Cluster 1076,2
1077,Cluster 1077,1
1078,Cluster 1078,1
1079,Cluster 1079,208
1080,Cluster 1080,1
1081,Cluster 1081,2
1082,Cluster 1082,1
1083,Cluster 1083,1
1084,Cluster 1084,28
1085,Cluster 1085,279
1086,Cluster 1086,290
1087,Cluster 1087,232
1088,Cluster 1088,1
1089,Cluster 1089,1
1090,Cluster 1090,1
1091,Cluster 1091,1
1092,Cluster 1092,1
1093,Cluster 1093,1
1094,Cluster 1094,1
1095,Cluster 1095,2
1096,Cluster 1096,1
1097,Cluster 1097,1
1098,Cluster 1098,9
1099,Cluster 1099,2
1100,Cluster 1100,289
1101,Cluster 1101,2
1102,Cluster 1102,4
1103,Cluster 1103,2
1104,Cluster 1104,4
1105,Cluster 1105,1
1106,Cluster 1106,4
1107,Cluster 1107,2
1108,Cluster 1108,6
1109,Cluster 1109,59
1110,Cluster 1110,1
1111,Cluster 1111,9
1112,Cluster 1112,1
1113,Cluster 1113,23
1114,Cluster 1114,7
1115,Cluster 1115,188
1116,Cluster 1116,19
1117,Cluster 1117,5
1118,Cluster 1118,5
1119,Cluster 1119,2
1120,Cluster 1120,1970
1121,Cluster 1121,39
1122,Cluster 1122,1
1123,Cluster 1123,1
1124,Cluster 1124,599
1125,Cluster 1125,16
1126,Cluster 1126,20
1127,Cluster 1127,9
1128,Cluster 1128,3
1129,Cluster 1129,478
1130,Cluster 1130,1
1131,Cluster 1131,1968
1132,Cluster 1132,1
1133,Cluster 1133,30
1134,Cluster 1134,39
1135,Cluster 1135,16
1136,Cluster 1136,3
1137,Cluster 1137,1
1138,Cluster 1138,15
1139,Cluster 1139,2
1140,Cluster 1140,4
1141,Cluster 1141,3
1142,Cluster 1142,1970
1143,Cluster 1143,2
1144,Cluster 1144,1
1145,Cluster 1145,1
1146,Cluster 1146,1
1147,Cluster 1147,1918
1148,Cluster 1148,27
1149,Cluster 1149,1
1150,Cluster 1150,16
1151,Cluster 1151,6
1152,Cluster 1152,7
1153,Cluster 1153,8
1154,Cluster 1154,2
1155,Cluster 1155,25
1156,Cluster 1156,21
1157,Cluster 1157,1
1158,Cluster 1158,59
1159,Cluster 1159,8
1160,Cluster 1160,13
1161,Cluster 1161,2
1162,Cluster 1162,1
1163,Cluster 1163,1970
1164,Cluster 1164,3
1165,Cluster 1165,1970
1166,Cluster 1166,147
1167,Cluster 1167,52
1168,Cluster 1168,15
1169,Cluster 1169,428
1170,Cluster 1170,5
1171,Cluster 1171,7
1172,Cluster 1172,3
1173,Cluster 1173,1962
1174,Cluster 1174,4
1175,Cluster 1175,14
1176,Cluster 1176,28
1177,Cluster 1177,78
1178,Cluster 1178,4
1179,Cluster 1179,320
1180,Cluster 1180,3
1181,Cluster 1181,94
1182,Cluster 1182,123
1183,Cluster 1183,1211
1184,Cluster 1184,4
1185,Cluster 1185,15
1186,Cluster 1186,13
1187,Cluster 1187,145
1188,Cluster 1188,8
1189,Cluster 1189,1
1190,Cluster 1190,46
1191,Cluster 1191,1
1192,Cluster 1192,1970
1193,Cluster 1193,96
1194,Cluster 1194,60
1195,Cluster 1195,2
1196,Cluster 1196,1
1197,Cluster 1197,1
1198,Cluster 1198,22
1199,Cluster 1199,3
1200,Cluster 1200,1
1201,Cluster 1201,1
1202,Cluster 1202,1
1203,Cluster 1203,1
1204,Cluster 1204,2
1205,Cluster 1205,2
1206,Cluster 1206,1
1207,Cluster 1207,1
1208,Cluster 1208,3
1209,Cluster 1209,1969
1210,Cluster 1210,6
1211,Cluster 1211,1
1212,Cluster 1212,1
1213,Cluster 1213,1
1214,Cluster 1214,49
1215,Cluster 1215,1
1216,Cluster 1216,1
1217,Cluster 1217,5
1218,Cluster 1218,1
1219,Cluster 1219,7
1220,Cluster 1220,1
