, ,Number of genomes
1006,Cluster 1006,18
1007,Cluster 1007,6
1008,Cluster 1008,43
1009,Cluster 1009,1
1010,Cluster 1010,4
1011,Cluster 1011,1
1012,Cluster 1012,1
1013,Cluster 1013,1
1014,Cluster 1014,592
1015,Cluster 1015,4
1016,Cluster 1016,1
1017,Cluster 1017,1
1018,Cluster 1018,2
1019,Cluster 1019,1
1020,Cluster 1020,1
1021,Cluster 1021,3
1022,Cluster 1022,26
1023,Cluster 1023,5
1024,Cluster 1024,7
1025,Cluster 1025,1
1026,Cluster 1026,1
1027,Cluster 1027,88
1028,Cluster 1028,2
1029,Cluster 1029,1
1030,Cluster 1030,71
1031,Cluster 1031,588
1032,Cluster 1032,6
1033,Cluster 1033,591
1034,Cluster 1034,556
1035,Cluster 1035,11
1036,Cluster 1036,5
1037,Cluster 1037,35
1038,Cluster 1038,1
1039,Cluster 1039,31
1040,Cluster 1040,49
1041,Cluster 1041,1
1042,Cluster 1042,1
1043,Cluster 1043,592
1044,Cluster 1044,590
1045,Cluster 1045,9
1046,Cluster 1046,1
1047,Cluster 1047,5
1048,Cluster 1048,5
1049,Cluster 1049,1
1050,Cluster 1050,13
1051,Cluster 1051,594
1052,Cluster 1052,1
1053,Cluster 1053,5
1054,Cluster 1054,25
1055,Cluster 1055,1
1056,Cluster 1056,26
1057,Cluster 1057,69
1058,Cluster 1058,2
1059,Cluster 1059,2
1060,Cluster 1060,4
1061,Cluster 1061,582
1062,Cluster 1062,1
1063,Cluster 1063,594
1064,Cluster 1064,593
1065,Cluster 1065,595
1066,Cluster 1066,577
1067,Cluster 1067,156
1068,Cluster 1068,6
1069,Cluster 1069,2
1070,Cluster 1070,2
1071,Cluster 1071,2
1072,Cluster 1072,8
1073,Cluster 1073,18
1074,Cluster 1074,1
1075,Cluster 1075,1
1076,Cluster 1076,1
1077,Cluster 1077,1
1078,Cluster 1078,6
1079,Cluster 1079,1
1080,Cluster 1080,60
1081,Cluster 1081,7
1082,Cluster 1082,595
1083,Cluster 1083,4
1084,Cluster 1084,3
1085,Cluster 1085,1
1086,Cluster 1086,1
1087,Cluster 1087,9
1088,Cluster 1088,1
1089,Cluster 1089,3
1090,Cluster 1090,2
1091,Cluster 1091,592
1092,Cluster 1092,277
1093,Cluster 1093,6
1094,Cluster 1094,3
1095,Cluster 1095,6
1096,Cluster 1096,2
1097,Cluster 1097,16
1098,Cluster 1098,5
1099,Cluster 1099,6
1100,Cluster 1100,2
1101,Cluster 1101,1
1102,Cluster 1102,79
1103,Cluster 1103,8
1104,Cluster 1104,1
1105,Cluster 1105,3
1106,Cluster 1106,7
1107,Cluster 1107,1
1108,Cluster 1108,3
1109,Cluster 1109,1
1110,Cluster 1110,1
1111,Cluster 1111,1
1112,Cluster 1112,12
1113,Cluster 1113,583
1114,Cluster 1114,1
1115,Cluster 1115,42
1116,Cluster 1116,564
1117,Cluster 1117,572
1118,Cluster 1118,13
1119,Cluster 1119,2
1120,Cluster 1120,3
1121,Cluster 1121,20
1122,Cluster 1122,589
1123,Cluster 1123,1
1124,Cluster 1124,2
1125,Cluster 1125,4
1126,Cluster 1126,8
1127,Cluster 1127,585
1128,Cluster 1128,3
1129,Cluster 1129,2
1130,Cluster 1130,1
1131,Cluster 1131,6
1132,Cluster 1132,2
1133,Cluster 1133,591
1134,Cluster 1134,1
1135,Cluster 1135,2
1136,Cluster 1136,589
