,log_odds
Cluster 23-Cluster 4739,-3.680230116067384
Cluster 23-Cluster 4740,-3.680230116067384
Cluster 23-Cluster 4741,-3.644990052265139
Cluster 23-Cluster 4764,-3.644990052265139
Cluster 23-Cluster 4869,-3.414841889711152
Cluster 23-Cluster 5622,-3.644990052265139
Cluster 23-Cluster 5688,-3.680230116067384
Cluster 23-Cluster 5689,-3.680230116067384
Cluster 23-Cluster 5724,-3.680230116067384
Cluster 23-Cluster 5858,-3.680230116067384
Cluster 23-Cluster 6165,-3.644990052265139
Cluster 23-Cluster 6379,-3.329383952091596
Cluster 23-Cluster 6566,-3.680230116067384
Cluster 23-Cluster 6613,-3.414841889711152
Cluster 23-Cluster 6664,-3.4557383441432403
Cluster 23-Cluster 6698,-3.680230116067384
Cluster 23-Cluster 6950,-3.495526399692321
Cluster 25-Cluster 1507,-1.7441314202388003
Cluster 28-Cluster 71,-0.31124425303029435
Cluster 28-Cluster 79,-1.1695011272072176
Cluster 28-Cluster 91,-1.1695011272072176
Cluster 28-Cluster 101,-1.1695011272072176
Cluster 28-Cluster 249,-1.1695011272072176
Cluster 28-Cluster 327,-0.8275343712683638
Cluster 28-Cluster 342,-1.1695011272072176
Cluster 28-Cluster 343,-0.31124425303029435
Cluster 28-Cluster 344,-1.1695011272072176
Cluster 28-Cluster 356,-1.1695011272072176
Cluster 28-Cluster 384,-1.1695011272072176
Cluster 28-Cluster 442,-1.4263404314200936
Cluster 28-Cluster 467,-1.1695011272072176
Cluster 28-Cluster 501,-1.1695011272072176
Cluster 28-Cluster 536,-0.31124425303029435
Cluster 28-Cluster 583,-1.1695011272072176
Cluster 28-Cluster 598,-1.1695011272072176
Cluster 28-Cluster 626,-1.1695011272072176
Cluster 28-Cluster 663,-1.4263404314200936
Cluster 28-Cluster 732,-1.4263404314200936
Cluster 28-Cluster 895,-1.1695011272072176
Cluster 28-Cluster 927,-1.1695011272072176
Cluster 28-Cluster 936,-1.4263404314200936
Cluster 28-Cluster 954,-1.1695011272072176
Cluster 28-Cluster 979,-1.1695011272072176
Cluster 28-Cluster 989,-0.8275343712683638
Cluster 28-Cluster 1008,-1.4263404314200936
Cluster 28-Cluster 1013,-1.4263404314200936
Cluster 28-Cluster 1014,-1.1695011272072176
Cluster 28-Cluster 1015,-1.4263404314200936
Cluster 28-Cluster 1112,-0.8275343712683638
Cluster 28-Cluster 1432,-1.1695011272072176
Cluster 28-Cluster 1599,-1.1695011272072176
Cluster 28-Cluster 1656,-1.1695011272072176
Cluster 28-Cluster 1759,-1.1695011272072176
Cluster 28-Cluster 1791,-1.4263404314200936
Cluster 28-Cluster 1902,-1.4263404314200936
Cluster 28-Cluster 1923,-1.1695011272072176
Cluster 28-Cluster 1933,-1.4263404314200936
Cluster 28-Cluster 2240,-1.4263404314200936
Cluster 28-Cluster 2289,-1.1695011272072176
Cluster 28-Cluster 2375,-1.1695011272072176
Cluster 28-Cluster 2385,-1.4263404314200936
Cluster 28-Cluster 2486,-1.1695011272072176
Cluster 28-Cluster 2509,-1.1695011272072176
Cluster 28-Cluster 2510,-1.1695011272072176
Cluster 28-Cluster 2675,-0.8275343712683638
Cluster 28-Cluster 2694,-0.8275343712683638
Cluster 28-Cluster 2966,-1.1695011272072176
Cluster 28-Cluster 3083,-1.1695011272072176
Cluster 28-Cluster 3084,-1.4263404314200936
Cluster 28-Cluster 3116,-0.8275343712683638
Cluster 28-Cluster 3138,-1.1695011272072176
Cluster 28-Cluster 3156,-1.1695011272072176
Cluster 28-Cluster 3258,-1.1695011272072176
Cluster 28-Cluster 3265,-0.31124425303029435
Cluster 28-Cluster 3341,-1.1695011272072176
Cluster 28-Cluster 3346,-0.8275343712683638
Cluster 28-Cluster 3357,-1.1695011272072176
Cluster 28-Cluster 3402,-1.1695011272072176
Cluster 28-Cluster 3438,-0.8275343712683638
Cluster 28-Cluster 3444,-1.1695011272072176
Cluster 28-Cluster 3453,-1.1695011272072176
Cluster 28-Cluster 3512,-1.4263404314200936
Cluster 28-Cluster 3534,-1.1695011272072176
Cluster 28-Cluster 3572,-1.8052073880986528
Cluster 28-Cluster 3598,-1.1695011272072176
Cluster 28-Cluster 3606,-1.4263404314200936
Cluster 28-Cluster 3698,-0.8275343712683638
Cluster 28-Cluster 3749,-1.1695011272072176
Cluster 28-Cluster 3773,-1.4263404314200936
Cluster 28-Cluster 3848,-0.8275343712683638
Cluster 28-Cluster 3867,-0.8275343712683638
Cluster 28-Cluster 3976,-1.4263404314200936
Cluster 28-Cluster 3996,-1.4263404314200936
Cluster 28-Cluster 4021,-1.1695011272072176
Cluster 28-Cluster 4122,-1.4263404314200936
Cluster 28-Cluster 4245,-1.4263404314200936
Cluster 28-Cluster 4298,-1.1695011272072176
Cluster 28-Cluster 4299,-1.4263404314200936
Cluster 28-Cluster 4402,-0.8275343712683638
Cluster 28-Cluster 4422,-1.4263404314200936
Cluster 28-Cluster 4429,-1.1695011272072176
Cluster 28-Cluster 4485,-1.4263404314200936
Cluster 28-Cluster 4503,-1.1695011272072176
Cluster 28-Cluster 4537,-0.8275343712683638
Cluster 28-Cluster 4587,-1.1695011272072176
Cluster 28-Cluster 4631,-0.8275343712683638
Cluster 28-Cluster 4652,-1.4263404314200936
Cluster 28-Cluster 4687,-0.31124425303029435
Cluster 28-Cluster 4708,-1.4263404314200936
Cluster 28-Cluster 4721,-1.1695011272072176
Cluster 28-Cluster 4733,-0.8275343712683638
Cluster 28-Cluster 4754,-1.1695011272072176
Cluster 28-Cluster 4760,-1.1695011272072176
Cluster 28-Cluster 4788,-1.1695011272072176
Cluster 28-Cluster 4914,-1.1695011272072176
Cluster 28-Cluster 4934,-1.4263404314200936
Cluster 28-Cluster 4938,-1.1695011272072176
Cluster 28-Cluster 4945,-1.1695011272072176
Cluster 28-Cluster 4946,-0.8275343712683638
Cluster 28-Cluster 4976,-0.8275343712683638
Cluster 28-Cluster 5014,-1.4263404314200936
Cluster 28-Cluster 5074,-1.1695011272072176
Cluster 28-Cluster 5075,-1.1695011272072176
Cluster 28-Cluster 5197,-1.1695011272072176
Cluster 28-Cluster 5265,-0.8275343712683638
Cluster 28-Cluster 5310,-1.4263404314200936
Cluster 28-Cluster 5338,-1.1695011272072176
Cluster 28-Cluster 5339,-0.8275343712683638
Cluster 28-Cluster 5367,-1.1695011272072176
Cluster 28-Cluster 5368,-1.1695011272072176
Cluster 28-Cluster 5408,-1.1695011272072176
Cluster 28-Cluster 5453,-1.1695011272072176
Cluster 28-Cluster 5473,-1.1695011272072176
Cluster 28-Cluster 5557,-0.8275343712683638
Cluster 28-Cluster 5591,-0.8275343712683638
Cluster 28-Cluster 5620,-1.1695011272072176
Cluster 28-Cluster 5646,-0.8275343712683638
Cluster 28-Cluster 5679,-1.1695011272072176
Cluster 28-Cluster 5714,-1.1695011272072176
Cluster 28-Cluster 5740,-1.1695011272072176
Cluster 28-Cluster 5761,-1.1695011272072176
Cluster 28-Cluster 5854,-1.1695011272072176
Cluster 28-Cluster 5965,-0.8275343712683638
Cluster 28-Cluster 6043,-1.1695011272072176
Cluster 28-Cluster 6046,-0.8275343712683638
Cluster 28-Cluster 6146,-0.8275343712683638
Cluster 28-Cluster 6147,-1.1695011272072176
Cluster 28-Cluster 6238,-1.1695011272072176
Cluster 28-Cluster 6326,-0.8275343712683638
Cluster 28-Cluster 6352,-1.1695011272072176
Cluster 28-Cluster 6408,-0.8275343712683638
Cluster 28-Cluster 6458,-1.1695011272072176
